index,Interval,Duration
1,"(""2018-01-01"",""2018-12-31"")",0.43994879722595215
2,"(""2018-12-31"",""2018-12-31"")",0.5256965160369873
3,"(""2022-01-01"",""2022-12-31"")",0.4848134517669678
4,"(""FY2022"", ""FY2022"")",0.4453434944152832
5,"(""2022-01-01"",""2022-12-31"")",0.7826814651489258
6,"(""2023-04-01"",""2023-06-30"")",0.5147619247436523
7,"(""2023-04-01"",""2023-06-30"")",0.50929856300354
8,"No specific date range is mentioned in the question, so the answer does not require a date interval.",0.6092245578765869
9,"(""2018-01-01"",""2019-12-31"")",0.4375014305114746
10,"(""2017-01-01"",""2019-12-31"")",0.4872901439666748
11,"(""2015-01-01"",""2015-12-31"")",0.818889856338501
12,"(""2015-01-01"",""2016-12-31"")",0.5080678462982178
13,"(""2017-01-01"",""2017-12-31"")",0.4738190174102783
14,"(""2022-01-01"",""2022-12-31"")",0.5478401184082031
15,"(""2022-01-01"",""2022-12-31"")",0.5130043029785156
16,"(""2022-01-01"",""2022-12-31"")",0.5105454921722412
17,"(""2022-01-01"",""2022-12-31"")",0.3961825370788574
18,"(""2021-01-01"",""2022-12-31"")",0.5263230800628662
19,"(""2016-01-01"",""2017-12-31"")",0.920062780380249
20,"(""2016-01-01"",""2017-12-31"")",0.49959349632263184
21,"(""2019-01-01"",""2019-12-31"")",0.622692346572876
22,"(""2020-12-31"",""2020-12-31"")",0.5100626945495605
23,"(""2022-07-01"",""2022-07-01"")",0.7180159091949463
24,"(""2022-01-01"",""2023-12-31"")",0.5139195919036865
25,"(""2021-01-01"",""2023-12-31"")",0.6130378246307373
26,null,0.32303547859191895
27,"(""2023-01-01"",""2023-12-31"")",0.49286866188049316
28,"(""2023-04-01"",""2023-06-30"")",0.5116996765136719
29,"(""2023-01-01"",""2023-12-31"")",0.6123104095458984
30,"(""2022-01-01"",""2023-12-31"")",0.5113317966461182
31,"(""2015-01-01"",""2015-12-31"")",0.5117032527923584
32,"(""2022-01-01"",""2022-12-31"")",0.5138952732086182
33,"(""2022-01-01"",""2022-12-31"")",0.5073630809783936
34,"(""2022-01-01"",""2022-12-31"")",0.5124130249023438
35,"(""FY22"",""FY22"")",0.4113788604736328
36,"(""2022-01-01"",""2022-12-31"")",0.5121753215789795
37,"(""2021-01-01"",""2022-12-31"")",0.505732536315918
38,"(""2022-01-01"",""2022-12-31"")",0.506072998046875
39,"(""2022-01-01"",""2022-12-31"")",0.4070284366607666
40,"(""2022-01-01"",""2022-12-31"")",0.4166140556335449
41,"(""2022-01-01"",""2022-12-31"")",0.9186391830444336
42,"(""2022-01-01"",""2022-12-31"")",0.5125463008880615
43,"(""2021-01-01"",""2022-12-31"")",0.6151511669158936
44,"(""2022-01-01"",""2022-12-31"")",0.5132815837860107
45,"(""2022-01-01"",""2022-12-31"")",0.5103862285614014
46,"(""2020-01-01"",""2020-12-31"")",0.6089794635772705
47,"(""2021-01-01"",""2021-12-31"")",0.4810619354248047
48,"(""2022-01-01"",""2022-12-31"")",0.5455076694488525
49,"(""2015-01-01"",""2017-12-31"")",0.4089701175689697
50,"(""2019-12-31"",""2019-12-31"")",0.5016474723815918
